volcano_number;volcano_name;primary_volcano_type;last_eruption_year;country;region;subregion;latitude;longitude;elevation;tectonic_settings;evidence_category;major_rock_1;major_rock_2;major_rock_3;major_rock_4;major_rock_5;minor_rock_1;minor_rock_2;minor_rock_3;minor_rock_4;minor_rock_5;population_within_5_km;population_within_10_km;population_within_30_km;population_within_100_km
283001;Abu;shield;-6850;Japan;Japan, Taiwan, Marianas;Honshu;34.5;131.6;641;Subduction zone / Continental crust (>25 km);Eruption Dated;Andesite / Basaltic Andesite;Basalt / Picro-Basalt;Dacite; ; ; ; ; ; ;NA;3597;9594;117805;4071152
355096;Acamarachi;stratovolcano;Unknown;Chile;South America;Northern Chile, Bolivia and Argentina;-23.292;-67.618;6023;Subduction zone / Continental crust (>25 km);Evidence Credible;Dacite;Andesite / Basaltic Andesite; ; ; ; ; ; ; ;NA;0;7;294;9092
342080;Acatenango;stratovolcano;1972;Guatemala;México and Central America;Guatemala;14.501;-90.876;3976;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;Dacite; ; ; ;Basalt / Picro-Basalt; ; ; ;NA;4329;60730;1042836;7634778
213004;Acigol-Nevsehir;caldera;-2080;Turkey;Mediterranean and Western Asia;Turkey;38.537;34.621;1683;Intraplate / Continental crust (>25 km);Eruption Dated;Rhyolite;Dacite;Basalt / Picro-Basalt;Andesite / Basaltic Andesite; ; ; ; ; ;NA;127863;127863;218469;2253483
321040;Adams;stratovolcano;950;United States;Canada and Western USA;USA (Washington);46.206;-121.49;3742;Subduction zone / Continental crust (>25 km);Eruption Dated;Andesite / Basaltic Andesite;Basalt / Picro-Basalt; ; ; ;Dacite; ; ; ;NA;0;70;4019;393303
283170;Adatarayama;stratovolcano;1996;Japan;Japan, Taiwan, Marianas;Honshu;37.647;140.281;1728;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite; ; ; ; ;Dacite;Basalt / Picro-Basalt; ; ;NA;428;3936;717078;5024654
221170;Adwa;stratovolcano;Unknown;Ethiopia;Africa and Red Sea;Africa (northeastern) and Red Sea;10.07;40.84;1733;Rift zone / Intermediate crust (15-25 km);Evidence Credible;Rhyolite;Basalt / Picro-Basalt;Trachyte / Trachydacite; ; ; ; ; ; ;NA;101;485;18645;1242922
221110;Afdera;stratovolcano;Unknown;Ethiopia;Africa and Red Sea;Africa (northeastern) and Red Sea;13.088;40.853;1250;Rift zone / Intermediate crust (15-25 km);Evidence Uncertain;Rhyolite; ; ; ; ;Basalt / Picro-Basalt;Trachybasalt / Tephrite Basanite;Andesite / Basaltic Andesite; ;NA;51;6042;8611;161009
284160;Agrigan;stratovolcano;1917;United States;Japan, Taiwan, Marianas;Izu, Volcano, and Mariana Islands;18.77;145.67;965;Subduction zone / Crustal thickness unknown;Eruption Observed;Basalt / Picro-Basalt;Andesite / Basaltic Andesite; ; ; ; ; ; ; ;NA;0;0;0;0
342100;Agua;stratovolcano;Unknown;Guatemala;México and Central America;Guatemala;14.465;-90.743;3760;Subduction zone / Continental crust (>25 km);Evidence Credible;Andesite / Basaltic Andesite; ; ; ; ;Dacite; ; ; ;NA;9890;114404;2530449;7441660
